Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.08950380003079772
0.0,0,0,1.4622603999450803
0.0,0,0,0.30386490002274513
0.0,2,0,0.25981920026242733
0.0,2,0,0.28646069997921586
0.0,0,0,0.2627191999927163
0.0,0,0,0.22697409987449646
0.0,2,0,0.1827484997920692
0.0,0,0,0.18273080000653863
0.0,2,0,0.1921540000475943
0.0,0,0,0.21631869999691844
0.0,2,0,0.218741400167346
0.0,0,0,0.22159059997648
0.0,0,0,0.19510510005056858
0.0,0,0,0.3723480002954602
0.0,0,0,0.15358400018885732
0.0,0,0,0.1945968996733427
0.0,2,0,0.045932499691843987
0.0,2,0,0.22021290007978678
0.0,2,0,0.22614349983632565
0.0,2,0,0.2143182996660471
0.0,2,0,0.23853210033848882
0.0,2,0,0.18939479999244213
0.0,0,0,0.215572000015527
0.0,0,0,0.19641900015994906
0.0,2,0,0.22269829967990518
0.0,0,0,0.18884709989652038
0.0,0,0,0.1934628002345562
0.0,0,0,0.21657149959355593
0.0,0,0,0.2441627997905016
0.0,0,0,0.21976620005443692
0.0,2,0,0.1752218003384769
0.0,0,0,0.20425760000944138
0.0,0,0,0.19351980043575168
0.0,2,0,0.028091300278902054
0.0,2,0,0.2231618999503553
0.0,0,0,0.19527769973501563
0.0,2,0,0.19662840012460947
0.0,2,0,0.39132880000397563
0.0,2,0,0.22816380020231009
0.0,2,0,0.2194055002182722
0.0,2,0,0.218289399985224
0.0,2,0,0.21885119983926415
0.0,2,0,0.2081849998794496
0.0,0,0,0.17736109998077154
0.0,2,0,0.21643809974193573
0.0,0,0,0.23997210012748837
0.0,2,0,0.01632829988375306
0.0,2,0,0.2007691003382206
0.0,0,0,0.2240678002126515
0.0,0,0,0.23105659987777472
0.0,0,0,0.2153676999732852
0.0,2,0,0.15857640001922846
0.0,2,0,0.4181770998984575
0.0,2,0,0.1817348999902606
0.0,2,0,0.28880529990419745
0.0,2,0,0.12117720022797585
0.0,0,0,0.23255429975688457
0.0,0,0,0.19773409981280565
0.0,0,0,0.1691716001369059
0.0,0,0,0.2215196997858584
