Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.8707461999729276
90.0,2,0,0.5103821000084281
0.0,0,0,0.5360783999785781
45.0,0,0,0.5011765998788178
0.0,0,0,0.8215192002244294
90.0,2,0,0.4411412999033928
0.0,2,0,0.8715945002622902
90.0,0,0,0.4423033003695309
90.0,2,0,0.7575055002234876
0.0,2,0,0.5924998996779323
45.0,0,0,0.5703304000198841
0.0,0,0,0.5827763001434505
0.0,2,0,0.43364530010148883
45.0,2,0,0.5955890999175608
0.0,0,0,0.4835884999483824
90.0,2,0,0.5436777998693287
45.0,2,0,0.5805416000075638
45.0,0,0,0.6695048999972641
90.0,2,0,0.8163465997204185
0.0,0,0,0.49359710002318025
