Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.42806109972298145
90.0,2,0,0.5145143996924162
90.0,0,0,0.5680970000103116
0.0,2,0,0.5372500997036695
90.0,2,0,0.4835318997502327
90.0,0,0,0.4301450001075864
0.0,2,0,0.6880637998692691
90.0,0,0,0.573471600189805
0.0,0,0,0.5971727999858558
0.0,2,0,0.495064000133425
90.0,0,0,0.5934967002831399
0.0,0,0,0.7571995998732746
90.0,2,0,0.5554193002171814
90.0,0,0,0.5587269999086857
0.0,2,0,0.4728848999366164
90.0,2,0,0.45739390002563596
0.0,0,0,0.6324704000726342
90.0,2,0,0.4859598004259169
90.0,2,0,0.4937411001883447
90.0,0,0,0.4338038000278175
0.0,0,0,0.5184316001832485
90.0,0,0,0.6713401000015438
0.0,2,0,0.4664159002713859
0.0,0,0,0.6905235997401178
0.0,0,0,0.40052839973941445
0.0,0,0,0.43834100011736155
90.0,2,0,0.39293000008910894
90.0,2,0,0.5013132998719811
90.0,2,0,0.4452922996133566
90.0,0,0,0.427479499951005
