Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.7751931669190526
0.0,2,0,0.48241412499919534
0.0,2,0,0.6208788340445608
0.0,2,0,0.5835303749190643
0.0,0,0,0.49806708295363933
0.0,0,0,0.5085930830100551
0.0,2,0,0.33192583301570266
0.0,0,0,0.363652833038941
0.0,0,0,0.4249341660179198
0.0,2,0,0.5447754169581458
0.0,2,0,0.499298834009096
0.0,2,0,0.5541440829401836
0.0,0,0,0.35397904203273356
0.0,0,0,0.3344483330147341
0.0,0,0,0.31911920791026205
0.0,0,0,0.3000702920835465
0.0,0,0,0.2962782080285251
0.0,2,0,0.5821762500563636
0.0,0,0,0.8039526659995317
0.0,2,0,0.49041850003413856
0.0,2,0,0.48192833294160664
0.0,2,0,0.272578916978091
0.0,2,0,0.24686362489592284
0.0,2,0,0.3377089590067044
0.0,2,0,0.24855745793320239
0.0,2,0,0.369099291972816
0.0,2,0,0.25507983297575265
0.0,2,0,0.5230505829676986
0.0,0,0,0.3022377089364454
0.0,0,0,0.4569970000302419
0.0,2,0,0.2741505829617381
0.0,0,0,0.2699319999665022
0.0,2,0,0.4017413330730051
0.0,0,0,0.2060355000430718
0.0,2,0,0.33795312501024455
0.0,2,0,0.4552893330110237
0.0,0,0,0.6027226250153035
0.0,2,0,0.3927447920432314
0.0,0,0,0.3139726249501109
0.0,0,0,0.44484454195480794
0.0,2,0,0.48189258307684213
0.0,0,0,0.3153847090434283
0.0,0,0,0.43704995804000646
0.0,2,0,0.3029731659917161
0.0,0,0,0.31549620802979916
0.0,0,0,0.27431587502360344
0.0,2,0,0.28335575002711266
0.0,2,0,0.4835851669777185
0.0,2,0,0.25522824993822724
0.0,2,0,0.30899320892058313
0.0,0,0,0.3421237920410931
0.0,0,0,0.2703067909460515
0.0,0,0,0.7546005829935893
0.0,0,0,0.8706915000220761
0.0,0,0,0.9970544999232516
0.0,0,0,0.836538958013989
0.0,0,0,0.7773521660128608
0.0,2,0,0.501503707957454
0.0,0,0,0.43838637496810406
0.0,0,0,0.4636956660542637
