Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,1.0097719579935074
0.0,0,0,0.9850035419221967
0.0,2,0,0.6495543330674991
0.0,0,0,0.7650910830125213
90.0,2,0,0.8934350829804316
45.0,2,0,0.7625821250258014
90.0,2,0,0.669846749980934
90.0,0,0,0.7457275410415605
45.0,2,0,0.6810920840362087
0.0,0,0,0.9015413749730214
0.0,0,0,0.6124010829953477
90.0,2,0,0.8707265829434618
0.0,0,0,0.6530418749898672
45.0,2,0,0.6781452499562874
45.0,0,0,0.6279109999304637
45.0,0,0,0.7797250830335543
0.0,0,0,0.7391432910226285
45.0,2,0,0.6687750000273809
90.0,2,0,0.7038473340217024
45.0,0,0,0.6388535000151023
