Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.9155480830231681
0.0,2,0,0.7822192499879748
90.0,0,0,0.7219260840211064
90.0,2,0,0.9073010829742998
0.0,0,0,0.6309457090683281
90.0,2,0,0.7997741249855608
90.0,2,0,0.7230340000241995
0.0,2,0,0.7475678749615327
90.0,0,0,0.778151125065051
0.0,2,0,0.8028513749595731
90.0,2,0,0.6827886250102893
90.0,0,0,0.5919235420878977
90.0,0,0,0.6537994160316885
90.0,0,0,0.8054506659973413
90.0,0,0,0.522789332899265
90.0,0,0,0.7364765409147367
0.0,0,0,0.9298406660091132
0.0,2,0,0.6870379579486325
90.0,0,0,0.7160132920835167
0.0,2,0,0.7198692919919267
90.0,2,0,0.6088813749374822
90.0,0,0,0.7211013750638813
90.0,2,0,0.6388559169135988
90.0,0,0,0.4800915829837322
0.0,0,0,0.6849031250458211
90.0,2,0,0.6141999169485644
90.0,2,0,0.6425037500448525
0.0,2,0,0.7678125409875065
0.0,0,0,0.7755759169813246
0.0,2,0,0.7808560830308124
