Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6943579999988287
45.0,0,0,0.9405084000009083
45.0,2,0,0.657572699999946
45.0,2,0,0.44807009999931324
45.0,0,0,0.46562400000038906
90.0,2,0,0.9908945999995922
45.0,0,0,0.6757116000007954
0.0,0,0,0.7820921000002272
90.0,2,0,0.6533678000014334
45.0,0,0,0.6024885000006179
90.0,0,0,0.9970054999994318
0.0,2,0,0.6341435000013007
0.0,2,0,0.5482510000001639
45.0,0,0,0.5871955999991769
45.0,2,0,0.4873831999993854
90.0,0,0,0.5634260000006179
45.0,2,0,0.776808799999344
0.0,0,0,0.6011782000005041
90.0,0,0,0.7929219000016019
0.0,2,0,0.5694429999985005
