Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.4688071000000491
90.0,0,0,0.5336588999998639
90.0,0,0,0.32925109999996494
90.0,2,0,0.38749169999937294
0.0,2,0,0.3647359000005963
90.0,2,0,0.5473234000000957
0.0,0,0,0.41653860000042187
90.0,2,0,0.4760743000006187
0.0,0,0,0.34074299999883806
0.0,0,0,0.5490819999995438
90.0,2,0,0.44061909999982163
90.0,0,0,0.44850899999983085
90.0,0,0,0.4909079000008205
90.0,2,0,0.6190342000008968
90.0,2,0,0.3659994999998162
0.0,2,0,0.4533271000000241
90.0,0,0,0.9504720999993879
0.0,0,0,0.598960100000113
0.0,2,0,0.5379516999983025
90.0,0,0,0.5079743999995117
90.0,0,0,0.45047599999998056
0.0,2,0,0.5143348000001424
90.0,0,0,0.8321796000000177
0.0,0,0,0.5276770999989822
90.0,2,0,0.558447100000194
0.0,2,0,0.5296244000001025
0.0,0,0,0.5242177000000083
90.0,2,0,0.514297900001111
90.0,0,0,0.42014559999915946
0.0,2,0,0.48562180000044464
