Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.2675908000092022
0.0,2,0,0.20694169998751022
0.0,2,0,0.21971530001610518
0.0,2,0,0.21820869998191483
0.0,2,0,0.2823313999979291
0.0,0,0,0.2120166000095196
0.0,0,0,0.23352050001267344
0.0,0,0,0.2371661000070162
0.0,0,0,0.25593379998463206
0.0,2,0,0.3379669999994803
0.0,0,0,0.23829639999894425
0.0,0,0,0.223494900012156
0.0,2,0,0.18513450000318699
0.0,2,0,0.21179850000771694
0.0,2,0,0.21018029999686405
0.0,0,0,0.2282171999977436
0.0,2,0,0.211503200000152
0.0,0,0,0.20548199999029748
0.0,0,0,0.2039193999953568
0.0,0,0,0.21960400001262315
0.0,2,0,0.2057382999919355
0.0,0,0,0.20407229999545962
0.0,2,0,0.240508899994893
0.0,2,0,0.22213660000124946
0.0,0,0,0.21550260001095012
0.0,0,0,0.2049754000036046
0.0,2,0,0.2184207999962382
0.0,2,0,0.2161105000122916
0.0,0,0,0.2078643999993801
0.0,0,0,0.19712430000072345
0.0,2,0,0.21395469998242334
0.0,2,0,0.23249970001052134
0.0,2,0,0.2072854999860283
0.0,0,0,0.21129890001611784
0.0,0,0,0.2210975999769289
0.0,0,0,0.25105489999987185
0.0,2,0,0.2130122999951709
0.0,2,0,0.22096870001405478
0.0,2,0,0.22089900000719354
0.0,0,0,0.21339930000249296
0.0,2,0,0.20275679999031126
0.0,2,0,0.21324969999841414
0.0,2,0,0.21427779999794438
0.0,2,0,0.19202590000350028
0.0,2,0,0.22159209998790175
0.0,0,0,0.2587084000115283
0.0,2,0,0.2334604999923613
0.0,0,0,0.2646348999987822
0.0,2,0,0.2418654999928549
0.0,2,0,0.21836810000240803
0.0,0,0,0.2260225000209175
0.0,0,0,0.22453470001346432
0.0,2,0,0.20683169999392703
0.0,0,0,0.19378569998661987
0.0,0,0,0.21948109997902066
0.0,0,0,0.23824410000815988
0.0,0,0,0.23811819998081774
0.0,0,0,0.20434309999109246
0.0,2,0,0.21218299999600276
0.0,0,0,0.23930849999305792
