Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.48806480001076125
90.0,0,0,0.6048598999914248
45.0,0,0,0.39294130000052974
0.0,0,0,0.6206968999758828
0.0,0,0,0.41278919999604113
45.0,0,0,0.5824014999961946
90.0,0,0,0.6159985999984201
45.0,2,0,0.6303599000093527
0.0,0,0,0.7050031999824569
45.0,0,0,0.6324854999838863
45.0,2,0,0.6445930000045337
90.0,2,0,0.6859248999971896
45.0,2,0,0.5731576999824028
0.0,2,0,0.35588990000542253
90.0,2,0,0.4443825999915134
0.0,2,0,0.5237148999876808
90.0,2,0,0.8294617999927141
45.0,2,0,0.512987099995371
0.0,2,0,0.31530410001869313
0.0,0,0,0.5078991999907885
