Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,1.089463500014972
0.0,2,0,0.40731850001611747
0.0,0,0,0.32869100000243634
90.0,2,0,0.40518129998235963
90.0,2,0,0.41554429999087006
90.0,0,0,0.32460079999873415
90.0,0,0,0.27570299999206327
0.0,2,0,0.32443820001208223
90.0,0,0,0.35546229997999035
90.0,2,0,0.3657447999867145
0.0,2,0,0.3348888000182342
90.0,0,0,0.34745709999697283
0.0,0,0,0.3887555999972392
0.0,2,0,0.32599879999179393
90.0,2,0,0.40494559999206103
0.0,2,0,0.6861826000094879
90.0,2,0,0.39432280001346953
0.0,0,0,0.4123486000171397
0.0,0,0,0.42579149999073707
0.0,0,0,0.351487999985693
90.0,0,0,0.36043239998980425
0.0,0,0,0.422677599999588
0.0,2,0,0.4506293000013102
0.0,0,0,0.4641447000030894
0.0,2,0,0.29755060002207756
90.0,2,0,0.37689110002247617
0.0,0,0,0.39826580000226386
0.0,0,0,0.4643064000119921
90.0,2,0,0.5405171999882441
90.0,2,0,0.36336479999590665
