Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,1.3232610831037164
0.0,2,0,0.35049266554415226
0.0,0,0,0.2269081249833107
0.0,0,0,0.20973195787519217
0.0,2,0,0.19413604214787483
0.0,0,0,0.2064959998242557
0.0,2,0,0.26233145920559764
0.0,0,0,0.2202360420487821
0.0,2,0,0.19972599996253848
0.0,2,0,0.18446454126387835
0.0,0,0,0.19486437505111098
0.0,2,0,0.20981475012376904
0.0,0,0,0.22128737485036254
0.0,2,0,0.33462841575965285
0.0,2,0,0.21959850005805492
0.0,2,0,0.23867791704833508
0.0,2,0,0.2709617498330772
0.0,0,0,0.5943498751148582
0.0,0,0,0.23023554123938084
0.0,0,0,0.28091891715303063
0.0,2,0,0.23367800004780293
0.0,0,0,0.22388574993237853
0.0,0,0,0.27039641700685024
0.0,2,0,0.24166179168969393
0.0,2,0,0.2507419581525028
0.0,2,0,0.238818584010005
0.0,2,0,0.28909970773383975
0.0,0,0,0.19454633304849267
0.0,0,0,0.23817908391356468
0.0,0,0,0.21639720909297466
0.0,0,0,0.5050054998137057
0.0,0,0,0.2266309168189764
0.0,2,0,0.1992355422116816
0.0,0,0,0.23887724988162518
0.0,0,0,0.2592603750526905
0.0,0,0,0.26558654196560383
0.0,2,0,0.2528233337216079
0.0,0,0,0.22183487517759204
0.0,0,0,0.21923054102808237
0.0,2,0,0.21717200009152293
0.0,2,0,0.21229166677221656
0.0,0,0,0.26048504235222936
0.0,0,0,0.30326054198667407
0.0,2,0,0.20733779203146696
0.0,0,0,0.19876762479543686
0.0,0,0,0.3227150421589613
0.0,2,0,0.2288773749023676
0.0,0,0,0.23575829155743122
0.0,0,0,0.2289826669730246
0.0,2,0,0.2252338328398764
0.0,2,0,0.23278958396986127
0.0,2,0,0.2524565411731601
0.0,2,0,0.3196842079050839
0.0,2,0,0.24059112509712577
0.0,2,0,0.2676116251386702
0.0,0,0,0.18834437523037195
0.0,2,0,0.2011887920089066
0.0,2,0,0.2035396248102188
0.0,2,0,0.24351549986749887
0.0,0,0,0.22059854213148355
