Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.4833023753017187
45.0,2,0,0.6981122498400509
45.0,0,0,0.5673440839163959
90.0,0,0,0.6519124172627926
45.0,2,0,0.6043972088955343
45.0,0,0,0.5445185829885304
45.0,2,0,0.47795566683635116
45.0,0,0,0.40740712499246
90.0,2,0,0.6390173332765698
90.0,2,0,0.7431446672417223
0.0,0,0,0.584676374681294
45.0,0,0,0.49275970831513405
45.0,0,0,0.5106479995884001
90.0,0,0,0.7297714576125145
90.0,0,0,0.6771366251632571
45.0,2,0,0.5599661655724049
0.0,2,0,0.7900669169612229
90.0,2,0,0.5786015829071403
0.0,0,0,1.0339682498015463
0.0,2,0,0.6565155843272805
