Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,1.5021974998526275
90.0,2,0,0.9498677081428468
0.0,2,0,0.6462442078627646
0.0,0,0,0.5487064169719815
90.0,0,0,0.627725875005126
90.0,0,0,0.49465174973011017
90.0,0,0,0.4529880410991609
90.0,2,0,0.3195975827984512
90.0,2,0,0.37534229177981615
90.0,0,0,0.36155787529423833
0.0,2,0,0.3323302920907736
0.0,0,0,0.3317184583283961
90.0,2,0,0.48395424988120794
90.0,2,0,0.43054720805957913
0.0,2,0,0.5491975001059473
90.0,2,0,0.6300354162231088
0.0,0,0,0.5405745408497751
0.0,0,0,0.4393022498115897
90.0,0,0,0.44403795897960663
0.0,0,0,0.3748704995959997
90.0,0,0,0.33218250004574656
90.0,0,0,0.7672163336537778
90.0,2,0,0.3960455418564379
90.0,2,0,0.5178516670130193
90.0,2,0,0.5912292082794011
90.0,0,0,0.5003965827636421
0.0,0,0,0.35945129161700606
0.0,2,0,0.42025191709399223
90.0,0,0,0.6505144578404725
0.0,2,0,0.4491535001434386
