Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,1.6179357999935746
0.0,0,0,0.6160772999865003
0.0,0,0,0.3641955000057351
0.0,2,0,0.31477329999324866
0.0,2,0,0.4261551000236068
0.0,0,0,0.3636891999922227
0.0,0,0,0.24171239999122918
0.0,0,0,0.3463653000071645
0.0,0,0,0.2524490999931004
0.0,0,0,0.21919039997737855
0.0,2,0,0.22782420000294223
0.0,0,0,0.2398784999968484
0.0,2,0,0.19605199998477474
0.0,2,0,0.19214369999826886
0.0,0,0,0.23867980000795797
0.0,0,0,0.2321599000133574
0.0,0,0,0.23350750000099652
0.0,0,0,0.3329223000037018
0.0,2,0,0.2669817999994848
0.0,2,0,0.2910965000046417
0.0,2,0,0.31115850000060163
0.0,2,0,0.2584721999883186
0.0,2,0,0.3104076999879908
0.0,0,0,0.36261289997491986
0.0,0,0,0.27330180001445115
0.0,0,0,0.26731190001009963
0.0,0,0,0.39748990000225604
0.0,2,0,0.278103699994972
0.0,2,0,0.2607661999936681
0.0,0,0,0.23894949999521486
0.0,0,0,0.22439509999821894
0.0,2,0,0.8965521999925841
0.0,2,0,0.4497544000041671
0.0,2,0,0.4264977999846451
0.0,2,0,0.38319209998007864
0.0,2,0,0.33789719999185763
0.0,0,0,0.2327897000068333
0.0,2,0,0.3773628000053577
0.0,2,0,0.22817429999122396
0.0,2,0,0.2762044999981299
0.0,2,0,0.19326869997894391
0.0,2,0,0.24697900001774542
0.0,2,0,0.36093830000027083
0.0,0,0,0.011013499984983355
0.0,2,0,0.393250099994475
0.0,2,0,0.27332410000963137
0.0,0,0,0.24393310002051294
0.0,2,0,0.2626827000058256
0.0,0,0,0.17416190000949427
0.0,0,0,0.25879590000840835
0.0,2,0,0.3888433999964036
0.0,0,0,0.34552100001019426
0.0,0,0,0.2753472999902442
0.0,0,0,0.24204809998627752
0.0,0,0,0.21544239998911507
0.0,2,0,0.24434129998553544
0.0,2,0,0.21553650000714697
0.0,2,0,0.26092919998336583
0.0,0,0,0.22157930000685155
0.0,0,0,0.20703629998024553
