Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.5326321000175085
90.0,2,0,0.45938280000700615
90.0,2,0,0.3794081000087317
0.0,0,0,0.48037949998979457
0.0,2,0,0.45548810000764206
0.0,0,0,0.3315217999916058
0.0,0,0,0.42223460000241175
0.0,0,0,0.3770540000114124
0.0,0,0,0.7466564000060316
0.0,2,0,0.5030829000170343
0.0,2,0,0.4064416000037454
0.0,2,0,0.43988119999994524
90.0,2,0,0.555370199988829
45.0,2,0,0.6346446000097785
45.0,0,0,0.4720674999989569
45.0,2,0,0.6095258000132162
90.0,0,0,0.5789619999995921
45.0,0,0,0.8296361000102479
0.0,0,0,0.9149662999843713
0.0,0,0,0.5530552999989595
