Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.013038900011452
90.0,2,0,0.33587310000439174
90.0,2,0,0.5218850999954157
0.0,2,0,0.6346580999961589
90.0,0,0,0.344679100002395
0.0,0,0,0.6534050999907777
90.0,0,0,0.47676280001178384
90.0,2,0,0.4961967999988701
90.0,0,0,0.35755330001120456
90.0,2,0,0.847721600002842
90.0,2,0,0.9611340999836102
90.0,2,0,0.38445820001652464
90.0,0,0,0.45552849999512546
90.0,0,0,0.4732491000031587
90.0,2,0,0.7128394999890588
0.0,0,0,0.7088988999894354
90.0,2,0,0.7716208999918308
0.0,0,0,0.5311312999983784
0.0,0,0,1.0018224000232294
90.0,2,0,0.4931438000057824
0.0,2,0,0.622716899990337
0.0,0,0,0.5259655999834649
0.0,2,0,0.5008581999863964
90.0,2,0,0.45153530000243336
90.0,2,0,0.4742133000108879
90.0,0,0,1.0273588999989443
90.0,0,0,0.36276879999786615
0.0,0,0,0.5208464000024833
0.0,0,0,0.48281829999177717
0.0,0,0,0.7879551000078209
