Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.746232471006806
0.0,2,0,0.3939105930039659
0.0,0,0,0.26501113799167797
0.0,2,0,0.29979154899774585
0.0,0,0,0.2619439839909319
0.0,2,0,0.23425632998987567
0.0,0,0,0.27672576099575963
0.0,2,0,0.3316541300009703
0.0,2,0,0.3514278920047218
0.0,0,0,0.2529169840126997
0.0,0,0,0.22095383501437027
0.0,2,0,0.2690075889986474
0.0,2,0,0.2836829680018127
0.0,0,0,0.2605679369880818
0.0,2,0,0.3200509659945965
0.0,0,0,0.23327678699570242
0.0,2,0,0.2862129020068096
0.0,0,0,0.2885538779955823
0.0,0,0,0.32434564900177065
0.0,2,0,0.33794291999947745
0.0,0,0,0.34576300698972773
0.0,0,0,0.28149929699429777
0.0,0,0,0.3159714859939413
0.0,2,0,0.34801390799111687
0.0,2,0,0.2553390270040836
0.0,0,0,0.3089107139967382
0.0,2,0,0.27893242199206725
0.0,0,0,0.2222124200052349
0.0,2,0,0.2222411519906018
0.0,0,0,0.2431125860020984
0.0,2,0,0.25925886299228296
0.0,2,0,0.23466158399241976
0.0,0,0,0.2283959100022912
0.0,0,0,0.3069062869908521
0.0,0,0,0.40511293899908196
0.0,2,0,0.25385082900174893
0.0,0,0,0.27296214099624194
0.0,2,0,0.2529332220001379
0.0,2,0,0.2903621550067328
0.0,0,0,0.3823358020017622
0.0,2,0,0.2758310409990372
0.0,0,0,0.2632524270011345
0.0,0,0,0.22727102099452168
0.0,0,0,0.2343560949957464
0.0,2,0,0.2491276679938892
0.0,0,0,0.25464851000288036
0.0,2,0,0.4040015390055487
0.0,0,0,0.24658508799620904
0.0,2,0,0.27797926199855283
0.0,0,0,0.2841093559982255
0.0,2,0,0.30470529399462976
0.0,2,0,0.24650973999814596
0.0,0,0,0.24010726700362284
0.0,2,0,0.25212048800312914
0.0,2,0,0.297039823999512
0.0,2,0,0.22974800399970263
0.0,2,0,0.22494948899839073
0.0,2,0,0.2704417869972531
0.0,0,0,0.29683063000265975
0.0,0,0,0.8319993799959775
