Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,1.7055009459872963
45.0,0,0,0.6550052620004863
45.0,0,0,0.5192888970050262
45.0,2,0,0.4618254029919626
0.0,0,0,0.5444380630069645
90.0,2,0,0.4866677179961698
90.0,0,0,0.3924535479891347
90.0,0,0,0.5713317500049016
0.0,2,0,0.5853381449996959
0.0,2,0,0.5305291850090725
0.0,2,0,0.5003159799962305
45.0,0,0,0.861982217989862
90.0,2,0,0.763985240002512
0.0,2,0,0.997386880000704
90.0,2,0,0.42149790600524284
45.0,2,0,1.0928383840073366
0.0,0,0,1.2911998729978222
90.0,0,0,0.39303042300161906
0.0,0,0,1.190596595988609
0.0,0,0,0.8103645230003167
