Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.2920383819728158
0.0,2,0,0.3007662839954719
0.0,2,0,0.27600168401841074
0.0,0,0,0.2595985350199044
0.0,2,0,0.2905553720192984
0.0,0,0,0.2451744549907744
0.0,0,0,0.2571304500452243
0.0,0,0,0.31865977199049667
0.0,2,0,0.2840674509643577
0.0,2,0,0.2745067879441194
0.0,0,0,0.28680597798665985
0.0,2,0,0.31433130300138146
0.0,0,0,0.39106483600335196
0.0,0,0,0.3849996770150028
0.0,2,0,0.38690840400522575
0.0,2,0,0.2543875580304302
0.0,0,0,0.3440181449986994
0.0,2,0,0.44405062397709116
0.0,2,0,0.4544903220376
0.0,2,0,0.3801142550073564
0.0,0,0,0.2868382369633764
0.0,0,0,0.2581704070325941
0.0,0,0,0.29298858501715586
0.0,0,0,0.25443493900820613
0.0,2,0,0.24273054901277646
0.0,2,0,0.3742792350240052
0.0,2,0,0.4159578540129587
0.0,0,0,0.25037033000262454
0.0,0,0,0.252058912999928
0.0,0,0,0.31044477998511866
0.0,0,0,0.251763422973454
0.0,2,0,0.2789399730390869
0.0,0,0,0.2589397489791736
0.0,2,0,0.22360264498274773
0.0,2,0,0.2427724470035173
0.0,2,0,0.2567786719882861
0.0,0,0,0.3248880290193483
0.0,2,0,0.36409571598051116
0.0,0,0,0.29307472496293485
0.0,0,0,0.2238006009720266
0.0,2,0,0.17791152599966154
0.0,2,0,0.265561341017019
0.0,2,0,0.2169600590132177
0.0,2,0,0.2544016130268574
0.0,0,0,0.2546555389999412
0.0,2,0,0.22401395498309284
0.0,0,0,0.39396061102161184
0.0,0,0,0.10421250096987933
0.0,0,0,0.2544543700059876
0.0,0,0,0.22270082699833438
0.0,2,0,0.12047483399510384
0.0,2,0,0.2768843320081942
0.0,2,0,0.2672479430329986
0.0,0,0,0.05267162900418043
0.0,0,0,0.23844979901332408
0.0,0,0,0.24410147097660229
0.0,0,0,0.2465701749897562
0.0,0,0,0.22676484397379681
0.0,2,0,0.24453580897534266
0.0,2,0,0.22437421197537333
