Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.5988206850015558
0.0,0,0,0.5713377910433337
90.0,2,0,0.5302328179823235
45.0,0,0,0.4244743559975177
45.0,2,0,0.38273454102454707
45.0,2,0,0.3976953210076317
90.0,0,0,0.6625679369899444
0.0,0,0,0.42032222799025476
0.0,2,0,0.4302679250249639
0.0,2,0,0.3829041520366445
0.0,0,0,0.3525503450073302
90.0,2,0,0.3680418679723516
90.0,0,0,0.3464635940035805
0.0,0,0,0.5394990459899418
45.0,2,0,0.4708810960291885
90.0,2,0,0.8346359870047309
90.0,0,0,0.347516399982851
45.0,0,0,0.6055454189772718
90.0,2,0,0.5629157450166531
0.0,0,0,0.38769429799867794
