Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.5200457330211066
0.0,0,0,0.3763646759907715
0.0,2,0,0.3529166099615395
0.0,2,0,0.29990723298396915
90.0,2,0,0.4668798760394566
0.0,2,0,0.40800552599830553
0.0,0,0,0.3555557049694471
0.0,2,0,0.5319613890023902
90.0,0,0,0.4705277450266294
90.0,2,0,0.5205289939767681
90.0,0,0,0.4351675389916636
90.0,0,0,0.3816322940401733
90.0,0,0,0.3591563110239804
0.0,2,0,0.4482070440426469
0.0,0,0,0.4362666530068964
90.0,2,0,0.43981722596799955
90.0,0,0,0.3722653979784809
90.0,2,0,0.5018725609988905
90.0,0,0,0.4339194630156271
0.0,0,0,0.5116670000134036
0.0,2,0,0.3840156450169161
90.0,0,0,0.37159877899102867
0.0,2,0,0.37974104401655495
90.0,2,0,0.45482489600544795
90.0,0,0,0.38704869901994243
90.0,2,0,0.3525214630062692
90.0,2,0,0.3529675540048629
0.0,0,0,0.4559727940359153
90.0,2,0,0.43282002198975533
0.0,0,0,0.44043893698835745
