Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.1232535999997708
0.0,2,0,0.2744106999998621
0.0,0,0,0.24671179999950255
0.0,0,0,0.24590549999993527
0.0,0,0,0.20905359999960638
0.0,2,0,0.24206429999958345
0.0,0,0,0.33065459999943414
0.0,2,0,0.2617071999993641
0.0,0,0,0.2595596999999543
0.0,0,0,0.20913220000056754
0.0,2,0,0.23551779999979772
0.0,0,0,0.30306130000008125
0.0,0,0,0.28083610000066983
0.0,2,0,0.28050569999959407
0.0,2,0,0.282953500000076
0.0,2,0,0.2606196999995518
0.0,0,0,0.2728192999993553
0.0,0,0,0.251879800000097
0.0,0,0,0.29137080000054993
0.0,2,0,0.37383309999950143
0.0,2,0,0.26473729999997886
0.0,0,0,0.18646739999985584
0.0,0,0,0.3861011999997572
0.0,0,0,0.33111470000039844
0.0,0,0,0.30094779999944876
0.0,2,0,0.3009520000005068
0.0,2,0,0.23752130000048055
0.0,0,0,0.2902553000003536
0.0,0,0,0.32872000000043045
0.0,0,0,0.289528700000119
0.0,0,0,0.05104899999969348
0.0,2,0,0.2787923999994746
0.0,2,0,0.2517692999999781
0.0,0,0,0.15036229999986972
0.0,2,0,0.17064140000002226
0.0,0,0,0.298828400000275
0.0,2,0,0.31487600000036764
0.0,0,0,0.317016799999692
0.0,2,0,0.27580549999947834
0.0,2,0,0.3961698000002798
0.0,2,0,0.16112450000036915
0.0,0,0,0.09029949999967357
0.0,0,0,0.1830030999999508
0.0,0,0,0.26140269999996235
0.0,2,0,0.41802780000034545
0.0,2,0,0.26140959999975166
0.0,2,0,0.32543170000008104
0.0,0,0,0.17156209999939165
0.0,0,0,0.31548970000039844
0.0,2,0,0.25725020000027143
0.0,2,0,0.19325579999986076
0.0,2,0,0.256646499999988
0.0,2,0,0.23097170000073675
0.0,2,0,0.32019899999977497
0.0,2,0,0.5393217999999251
0.0,2,0,0.45409289999952307
0.0,0,0,0.5670720999996774
0.0,0,0,0.5307951999993747
0.0,0,0,0.33689049999975396
0.0,2,0,0.28386939999927563
