Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.24832940008491278
0.0,0,0,0.3981091999448836
90.0,2,0,0.22002970008179545
0.0,0,0,0.3146901000291109
90.0,0,0,0.23436550004407763
0.0,2,0,0.2191114998422563
90.0,2,0,0.22273240005597472
0.0,0,0,0.19501310004852712
0.0,2,0,0.5049533999990672
90.0,2,0,0.3312883998733014
0.0,0,0,0.21845840010792017
90.0,0,0,0.5735357999801636
90.0,2,0,0.2695472000632435
90.0,2,0,0.2734462998341769
0.0,0,0,0.4041098998859525
0.0,0,0,0.2993131000548601
90.0,2,0,0.27895550010725856
0.0,0,0,0.5791450999677181
0.0,0,0,0.2738371000159532
0.0,0,0,0.5900983999017626
0.0,2,0,0.5974572999402881
90.0,2,0,0.43393320008181036
0.0,2,0,0.5890719001181424
90.0,2,0,0.4920119000598788
90.0,2,0,0.442237599985674
0.0,0,0,0.48559170006774366
90.0,0,0,0.5120413999538869
0.0,0,0,0.563995199976489
90.0,0,0,0.41177819995209575
90.0,2,0,0.3911455001216382
