Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6189019999001175
0.0,0,0,0.4631349998526275
45.0,0,0,0.4000891000032425
0.0,2,0,0.45941570005379617
0.0,0,0,0.8791943998076022
0.0,2,0,0.6148202999029309
45.0,2,0,0.3971145998220891
90.0,0,0,0.5164040001109242
45.0,0,0,0.5997898001223803
45.0,0,0,0.4943202000577003
90.0,2,0,0.4626468999776989
45.0,0,0,0.5284942998550832
90.0,2,0,0.6782646998763084
0.0,0,0,0.4946306000929326
0.0,2,0,0.5183671000413597
90.0,2,0,0.41846960014663637
90.0,2,0,0.4563432999420911
45.0,0,0,0.3777314000762999
45.0,0,0,0.29552590008825064
90.0,2,0,0.511331900022924
