Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,1.447453458007658
0.0,0,0,0.5984659160021693
0.0,2,0,0.5463585419929586
0.0,0,0,0.675077166990377
0.0,2,0,0.5284520830027759
0.0,0,0,0.5531351670215372
0.0,2,0,0.3909910419897642
0.0,0,0,0.6331463750102557
0.0,0,0,0.3849112919997424
0.0,2,0,0.3211204160179477
0.0,2,0,0.3584542919998057
0.0,2,0,0.406816999980947
0.0,0,0,0.3640517499879934
0.0,2,0,0.31417366600362584
0.0,0,0,0.240274000010686
0.0,0,0,0.44190337500185706
0.0,0,0,0.2885035829967819
0.0,2,0,0.2330325829971116
0.0,2,0,0.2602537499915343
0.0,2,0,0.2807440000178758
0.0,2,0,0.30897512499359436
0.0,2,0,0.25459766600397415
0.0,0,0,0.24462333400151692
0.0,2,0,0.30735954199917614
0.0,0,0,0.24819491599919274
0.0,0,0,0.305249625002034
0.0,2,0,0.23482116698869504
0.0,2,0,0.24671491599292494
0.0,2,0,0.2466075000120327
0.0,2,0,0.30068920901976526
0.0,0,0,0.23621637499309145
0.0,2,0,0.23347137498785742
0.0,2,0,0.3530800410080701
0.0,2,0,0.22085795900784433
0.0,2,0,0.2649302500067279
0.0,2,0,0.3065567080047913
0.0,0,0,0.3088606249948498
0.0,0,0,0.3610204170108773
0.0,2,0,0.3259372919856105
0.0,0,0,0.3627448749903124
0.0,2,0,0.34961599999223836
0.0,0,0,0.36544566598604433
0.0,0,0,0.3144178749935236
0.0,0,0,0.25213512501795776
0.0,2,0,0.24916900001699105
0.0,0,0,0.2920001669845078
0.0,0,0,0.26027733299997635
0.0,0,0,0.29491579200839624
0.0,0,0,0.26637858399772085
0.0,0,0,0.2888490420009475
0.0,2,0,0.359901332994923
0.0,0,0,0.290686291991733
0.0,2,0,0.08364912497927435
0.0,2,0,0.24071625000215136
0.0,0,0,0.23842741700354964
0.0,2,0,0.2283807909989264
0.0,0,0,0.24546449998160824
0.0,2,0,0.2359797919925768
0.0,0,0,0.22563970898045227
0.0,0,0,0.29112399998120964
