Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.788120874989545
90.0,0,0,0.778762750007445
45.0,0,0,0.6229745000018738
0.0,0,0,0.523463042016374
45.0,0,0,1.0495209170039743
90.0,0,0,0.6980435829900671
90.0,0,0,1.4678887919872068
45.0,2,0,0.7603800840151962
45.0,0,0,0.8351927080075257
0.0,0,0,0.6911772500025108
0.0,2,0,0.5754922080086544
45.0,2,0,0.7810684579890221
90.0,2,0,1.1281168750138022
90.0,0,0,0.5347799999872223
0.0,2,0,0.6225202920031734
90.0,2,0,0.5591316249920055
90.0,2,0,0.4956733750004787
0.0,0,0,0.5635095420002472
45.0,2,0,0.5724772920075338
90.0,2,0,0.78665937500773
