Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.5710638330201618
90.0,2,0,0.4534685830003582
90.0,0,0,0.4526508749986533
0.0,2,0,0.5285342920105904
90.0,2,0,0.43480491600348614
0.0,0,0,0.5985799579939339
90.0,0,0,0.43223929198575206
0.0,2,0,0.4173662920075003
90.0,2,0,0.3779108750168234
0.0,2,0,0.43236862498451956
0.0,0,0,1.0222538750094827
0.0,2,0,0.40879983399645425
0.0,0,0,0.532840917003341
0.0,2,0,0.39925566597958095
0.0,0,0,0.41753045801306143
0.0,0,0,0.42472379200626165
90.0,0,0,0.39523270798963495
0.0,0,0,0.48586250000516884
90.0,2,0,0.4051067910040729
90.0,2,0,0.40537520800717175
90.0,2,0,0.4360743330034893
0.0,0,0,0.46647200000006706
90.0,0,0,0.4583397080132272
0.0,0,0,0.36217266699532047
0.0,0,0,0.5782730840146542
0.0,0,0,0.36109741698601283
0.0,2,0,0.5351688750088215
0.0,2,0,0.423617499996908
90.0,2,0,0.5346131670230534
90.0,0,0,0.4196433750039432
