Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,1.164225833999808
90.0,2,0,0.45555762500043784
90.0,2,0,0.5634382919997734
90.0,0,0,0.537586583999655
90.0,0,0,0.8626419579995854
0.0,2,0,0.5295883329999924
90.0,2,0,0.4641426660000434
90.0,0,0,0.36757945899989863
0.0,0,0,0.6938952500004234
90.0,0,0,0.5009541669987811
90.0,2,0,0.5195776669988845
0.0,2,0,0.6837216670010093
0.0,0,0,0.5962925829990127
0.0,2,0,0.49901108400081284
0.0,2,0,0.5487131249992672
90.0,2,0,0.6260289589990862
90.0,0,0,0.45225595900046756
0.0,2,0,0.646031624999523
0.0,2,0,0.48299224999936996
0.0,0,0,0.5847839160014701
90.0,2,0,0.4612620000007155
90.0,0,0,0.4470568330016249
90.0,2,0,0.4420709580008406
0.0,0,0,0.7192961249984364
90.0,2,0,0.47960862499894574
0.0,2,0,0.5982979999989766
90.0,0,0,0.5951393750001444
0.0,0,0,0.7007537499994214
90.0,0,0,0.6266234159993473
0.0,0,0,0.8429124169997522
