Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.23067030002130195
0.0,2,0,0.21311169999535196
0.0,2,0,0.23351829999592155
0.0,2,0,0.2182549000135623
0.0,0,0,0.30333200001041405
0.0,2,0,0.27240159999928437
0.0,0,0,0.2030265999783296
0.0,2,0,0.24388920000637881
0.0,0,0,0.2274911999993492
0.0,0,0,0.23553229999379255
0.0,0,0,0.22624640000867657
0.0,2,0,0.2795773000107147
0.0,0,0,0.22412540001096204
0.0,2,0,0.24826179997762665
0.0,0,0,0.2329874999995809
0.0,2,0,0.24944480002159253
0.0,0,0,0.24025100001017563
0.0,0,0,0.22523579999688081
0.0,0,0,0.22500459998263977
0.0,0,0,0.23569339999812655
0.0,0,0,0.22441639998578466
0.0,0,0,0.222888000018429
0.0,0,0,0.21382509998511523
0.0,0,0,0.22802330000558868
0.0,0,0,0.22741880000103265
0.0,2,0,0.22515610000118613
0.0,2,0,0.1999599999981001
0.0,0,0,0.2004564999951981
0.0,2,0,0.252985200000694
0.0,0,0,0.218184299999848
0.0,0,0,0.21047469999757595
0.0,2,0,0.20528669998748228
0.0,0,0,0.21413049998227507
0.0,2,0,0.2336963999841828
0.0,0,0,0.2413273000274785
0.0,2,0,0.23045790000469424
0.0,2,0,0.2094820000056643
0.0,0,0,0.22579810000024736
0.0,0,0,0.24044690001755953
0.0,2,0,0.210105600010138
0.0,2,0,0.24252490000799298
0.0,2,0,0.23067049999372102
0.0,2,0,0.2303834999911487
0.0,2,0,0.24479510000674054
0.0,2,0,0.22944110000389628
0.0,2,0,0.19128669999190606
0.0,2,0,0.22832630001357757
0.0,2,0,0.238166099996306
0.0,2,0,0.24320610001450405
0.0,0,0,0.25712989998282865
0.0,2,0,0.22737219999544322
0.0,0,0,0.2340521999867633
0.0,0,0,0.2557418000069447
0.0,0,0,0.18765259999781847
0.0,2,0,0.23112539999419823
0.0,2,0,0.21539240001584403
0.0,2,0,0.23548809997737408
0.0,0,0,0.21503930000471883
0.0,0,0,0.2869609000044875
0.0,2,0,0.21647090002079494
