Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.503203999978723
0.0,2,0,0.4276587000058498
45.0,2,0,0.48643279998213984
0.0,0,0,0.4223212999932002
90.0,2,0,0.43859979999251664
90.0,2,0,0.4212274999881629
45.0,0,0,0.608284799993271
45.0,2,0,0.3686941000050865
0.0,0,0,0.45447920000879094
90.0,0,0,0.3228402999811806
45.0,0,0,0.373406700004125
90.0,2,0,0.5133588000026066
0.0,0,0,0.44958079999196343
90.0,0,0,0.36738229999900796
90.0,2,0,0.796974400000181
0.0,2,0,0.639912100014044
0.0,0,0,0.6187470000004396
45.0,2,0,0.3800393999845255
45.0,2,0,0.3301522000110708
45.0,0,0,0.3000597999780439
