Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.4450104999996256
0.0,0,0,0.3656323999748565
0.0,2,0,0.36582070001168177
90.0,0,0,0.43220530002145097
90.0,2,0,0.3951686999935191
90.0,0,0,0.35751729999901727
0.0,2,0,0.44074339998769574
0.0,0,0,0.33259459998225793
0.0,2,0,0.3584569999948144
90.0,0,0,0.4561491000058595
0.0,2,0,0.411221199989086
90.0,2,0,0.3803155999921728
90.0,0,0,0.40871679998235777
90.0,2,0,0.39503960000001825
0.0,2,0,0.4122318000008818
90.0,0,0,0.43739460001233965
0.0,0,0,0.5371506999945268
90.0,2,0,0.4526441000052728
0.0,0,0,0.49474629998439923
0.0,0,0,0.40161229998921044
90.0,2,0,0.39438739998149686
90.0,2,0,0.45863740000640973
90.0,0,0,0.36838390000048093
90.0,2,0,0.3505641000228934
90.0,0,0,0.41337289998773485
90.0,0,0,0.4335072000103537
90.0,0,0,0.4287473000003956
90.0,2,0,0.3515676000097301
0.0,0,0,0.3857438999984879
90.0,2,0,0.46653299999888986
