Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4235646250890568
0.0,2,0,0.523851832957007
0.0,0,0,0.5434232499683276
0.0,0,0,0.47170275007374585
0.0,2,0,0.2763462080620229
0.0,0,0,0.3656302080489695
0.0,2,0,0.26913495792541653
0.0,2,0,0.278703875024803
0.0,0,0,0.25636650004889816
0.0,2,0,0.25517233298160136
0.0,2,0,0.2722706670174375
0.0,2,0,0.24885741691105068
0.0,0,0,0.2165540000423789
0.0,2,0,0.2666329999919981
0.0,2,0,0.2420082500902936
0.0,2,0,0.22617095906753093
0.0,2,0,0.25371187506243587
0.0,2,0,0.2873418750241399
0.0,0,0,0.2549732499755919
0.0,2,0,0.22868437506258488
0.0,0,0,0.22597445792052895
0.0,0,0,0.2712151249870658
0.0,0,0,0.27979100006632507
0.0,2,0,0.24446466693188995
0.0,2,0,0.2557070420589298
0.0,0,0,0.28869945800397545
0.0,2,0,0.3002181249903515
0.0,2,0,0.2437129580648616
0.0,2,0,0.2690326670417562
0.0,0,0,0.2170760000590235
0.0,0,0,0.22584837500471622
0.0,0,0,0.3391370000317693
0.0,0,0,0.2212721249088645
0.0,0,0,0.24740054202266037
0.0,2,0,0.2397308750078082
0.0,0,0,0.24195495899766684
0.0,2,0,0.22761283302679658
0.0,2,0,0.24563050002325326
0.0,0,0,0.2481112089008093
0.0,0,0,0.268151875003241
0.0,0,0,0.2403796659782529
0.0,2,0,0.24494541704189032
0.0,2,0,0.2920362090226263
0.0,2,0,0.2161854999139905
0.0,2,0,0.24533149995841086
0.0,0,0,0.24344933300744742
0.0,0,0,0.2624295420246199
0.0,0,0,0.20721404091455042
0.0,2,0,0.26340545900166035
0.0,0,0,0.3628295829985291
0.0,2,0,0.2586018330184743
0.0,0,0,0.22696633299347013
0.0,2,0,0.28564845805522054
0.0,0,0,0.2746049170382321
0.0,0,0,0.2935761659173295
0.0,2,0,0.2745796659728512
0.0,0,0,0.2854150419589132
0.0,2,0,0.26096695906016976
0.0,0,0,0.26010283397044986
0.0,0,0,0.2732765000546351
