Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.6519972499227151
0.0,0,0,0.4617592500289902
0.0,0,0,0.6677242920268327
0.0,0,0,0.5743266670033336
90.0,2,0,0.522592292050831
90.0,2,0,0.5152881250251085
0.0,0,0,0.8404345839517191
45.0,0,0,0.7392339579528198
90.0,0,0,0.9980045839911327
45.0,2,0,0.7153308750130236
0.0,0,0,0.9398967500310391
0.0,2,0,0.5043122499482706
45.0,2,0,0.6248438750626519
45.0,2,0,0.5184162500081584
45.0,2,0,0.6213522090110928
45.0,0,0,0.44019312504678965
45.0,2,0,0.4285401669330895
90.0,0,0,0.9132926249876618
0.0,2,0,0.445314290933311
90.0,0,0,0.7936913749435917
