Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.6835765419527888
90.0,0,0,0.46124129206873477
0.0,0,0,0.4389565410092473
0.0,2,0,0.44038520799949765
90.0,2,0,0.6622844169614837
0.0,2,0,0.4272624999284744
0.0,2,0,0.5000731659820303
90.0,0,0,0.6294812500709668
90.0,2,0,0.687345290905796
90.0,0,0,0.6352912080474198
0.0,0,0,0.6092836669413373
90.0,0,0,0.5715431249700487
0.0,2,0,0.6533488749992102
90.0,0,0,0.5553247089264914
90.0,2,0,0.5135084160137922
90.0,0,0,0.4860609589377418
0.0,0,0,0.5011227920185775
0.0,2,0,0.3920793749857694
90.0,2,0,0.5798688330687582
90.0,2,0,0.5087233750382438
0.0,0,0,0.5030635420698673
0.0,2,0,0.4389792080037296
90.0,0,0,0.45819345803465694
0.0,0,0,0.39866516704205424
0.0,0,0,0.3996379169402644
90.0,2,0,0.40694995899684727
90.0,0,0,0.37620329204946756
0.0,0,0,0.41006837505847216
90.0,2,0,0.5004895420279354
0.0,2,0,0.42334187508095056
