Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.8128068750011153
0.0,2,0,0.49663362499995856
0.0,0,0,0.42737704199680593
0.0,2,0,0.2675281249976251
0.0,2,0,0.2586190829970292
0.0,2,0,0.2727936670053168
0.0,0,0,0.23996900000202004
0.0,0,0,0.23951862499961862
0.0,2,0,0.23876641699462198
0.0,0,0,0.21176041700528003
0.0,2,0,0.21866229100123746
0.0,2,0,0.24342608299775748
0.0,2,0,0.2573662919967319
0.0,0,0,0.24473020800360246
0.0,0,0,0.2526117500019609
0.0,0,0,0.27016045799973654
0.0,0,0,0.23180620900529902
0.0,0,0,0.24232629199832445
0.0,2,0,0.23847345800459152
0.0,0,0,0.20243687499896623
0.0,2,0,0.23506508299760753
0.0,0,0,0.2785171249997802
0.0,0,0,0.2651563330000499
0.0,2,0,0.2719150830016588
0.0,0,0,0.23711712499789428
0.0,2,0,0.2761599160003243
0.0,0,0,0.20476974999473896
0.0,2,0,0.2517816670006141
0.0,2,0,0.223372250002285
0.0,2,0,0.2726356250059325
0.0,2,0,0.26339624999673106
0.0,0,0,0.2704765839953325
0.0,2,0,0.24006887499854201
0.0,2,0,0.26742762500362005
0.0,2,0,0.21593666600529104
0.0,0,0,0.23112070799834328
0.0,0,0,0.2201749580053729
0.0,0,0,0.20487508400401566
0.0,2,0,0.21043983299750835
0.0,0,0,0.24001333300111583
0.0,2,0,0.25453033399389824
0.0,2,0,0.21564554200449493
0.0,2,0,0.13885854100226425
0.0,2,0,0.3069510830027866
0.0,0,0,0.2053686250001192
0.0,0,0,0.21035645900701638
0.0,2,0,0.2297100420037168
0.0,0,0,0.20793320800294168
0.0,0,0,0.28536391699890373
0.0,0,0,0.22528829200018663
0.0,0,0,0.22406383300403832
0.0,0,0,1.1945422499993583
0.0,2,0,0.34885120800026925
0.0,0,0,0.2593032500008121
0.0,2,0,0.05879316700156778
0.0,2,0,0.21353962499415502
0.0,0,0,0.2219278749980731
0.0,2,0,0.23526237499754643
0.0,2,0,0.2900374999953783
0.0,0,0,0.31986912499996834
