Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.6898030419979477
90.0,2,0,0.40119466699979967
90.0,2,0,0.709970957999758
0.0,2,0,0.37798633300553774
0.0,2,0,0.5158198330027517
0.0,0,0,0.6110318749997532
90.0,0,0,0.586017500005255
0.0,0,0,0.4982921249975334
90.0,0,0,0.45934308400319424
45.0,0,0,0.5399962500014226
0.0,2,0,0.6613841250000405
0.0,2,0,0.5671684579938301
45.0,0,0,0.6290572500001872
0.0,0,0,0.6336766669992357
0.0,0,0,0.5677606669996749
0.0,0,0,0.5641372499958379
45.0,2,0,0.6491341250002733
0.0,2,0,0.643539625001722
45.0,2,0,0.6351231669978006
90.0,0,0,0.6257547089990112
