Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.6033926250020158
90.0,0,0,0.6501021250005579
90.0,2,0,0.6597633749988745
90.0,2,0,0.5963445829984266
0.0,0,0,0.4864630840020254
90.0,2,0,0.4370939170039492
0.0,0,0,0.42383849999896483
0.0,2,0,0.44723024999984773
90.0,2,0,0.4335477089989581
0.0,2,0,0.4476869580030325
0.0,0,0,0.7119815000041854
0.0,2,0,0.5047340419987449
90.0,0,0,0.43439774999569636
90.0,2,0,0.5614083330001449
90.0,0,0,0.532569417002378
90.0,0,0,0.38033650000579655
0.0,2,0,0.5153408339974703
90.0,0,0,0.49926779200177407
90.0,2,0,0.49142570800177054
0.0,0,0,0.49915662499552127
90.0,2,0,0.4247555409965571
0.0,0,0,0.5476302499955636
0.0,0,0,0.6203641249958309
90.0,0,0,0.7749051659993711
90.0,2,0,0.550946292001754
90.0,2,0,0.45776212499913527
90.0,2,0,0.4457418750025681
0.0,2,0,0.4666393750012503
0.0,0,0,0.6988362499978393
90.0,0,0,0.4095397499986575
