Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.8552777000004426
0.0,2,0,0.2955699000158347
0.0,0,0,0.33096049999585375
0.0,0,0,0.2871021000028122
0.0,2,0,0.36986639999668114
0.0,2,0,0.4904277000168804
0.0,0,0,0.3676714999892283
0.0,0,0,0.35259719999157824
0.0,0,0,0.3746178000001237
0.0,2,0,0.6637048000120558
0.0,0,0,0.39223639998817816
0.0,2,0,0.38559960000566207
0.0,0,0,0.2914535000163596
0.0,0,0,0.3725984000193421
0.0,2,0,0.5077023999765515
0.0,2,0,0.3083731999795418
0.0,2,0,0.37939009998808615
0.0,0,0,0.30163400000310503
0.0,0,0,0.2716229000070598
0.0,0,0,0.282268999988446
0.0,2,0,0.3309411999944132
0.0,0,0,0.43714329999056645
0.0,0,0,0.37534210001467727
0.0,0,0,0.308052599983057
0.0,2,0,0.3085588999965694
0.0,2,0,0.2671468000044115
0.0,2,0,0.4258831999904942
0.0,2,0,0.3294064000074286
0.0,2,0,0.25727300002472475
0.0,0,0,0.23991629999363795
0.0,0,0,0.30223520001163706
0.0,0,0,0.2761859000020195
0.0,2,0,0.2677302999945823
0.0,2,0,0.2736282999976538
0.0,2,0,0.3168965999793727
0.0,0,0,0.3018498000164982
0.0,2,0,0.3128486000059638
0.0,2,0,0.3357090000063181
0.0,0,0,0.3200557000236586
0.0,2,0,0.3765060000005178
0.0,0,0,0.32077730001765303
0.0,2,0,0.23468980001052842
0.0,0,0,0.25279860000591725
0.0,2,0,0.29240560001926497
0.0,2,0,0.24747949998709373
0.0,2,0,0.25195989999338053
0.0,2,0,0.27118630000040866
0.0,0,0,0.26774330000625923
0.0,0,0,0.256360900006257
0.0,2,0,0.21704509999835864
0.0,0,0,0.2735496000095736
0.0,0,0,0.24983670000801794
0.0,0,0,0.28112379999947734
0.0,0,0,0.4038707000145223
0.0,2,0,0.32537979999324307
0.0,0,0,0.3037207000015769
0.0,0,0,0.3137722999963444
0.0,2,0,0.22106490001897328
0.0,2,0,0.28622350000659935
0.0,2,0,0.27866340000764467
