Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.5646132999972906
0.0,2,0,0.762556699977722
45.0,0,0,0.6244535000005271
45.0,0,0,0.5944502000056673
45.0,2,0,0.5077608999854419
90.0,2,0,0.6407881999912206
45.0,0,0,0.4519420000142418
0.0,0,0,0.46268629998667166
0.0,2,0,0.6230121999979019
90.0,2,0,0.7309106000175234
0.0,2,0,0.8321458999998868
0.0,2,0,0.48537320000468753
90.0,0,0,0.67414769998868
0.0,2,0,0.7915344000211917
90.0,2,0,0.6629888000024948
0.0,0,0,0.5674945999926422
45.0,0,0,0.5900361000094563
0.0,0,0,0.7778782999957912
90.0,0,0,0.8225808999850415
0.0,0,0,0.6364901000051759
90.0,2,0,0.6411697000148706
90.0,0,0,0.3952659000060521
0.0,0,0,0.4719620000105351
0.0,2,0,0.44224779997603036
0.0,0,0,0.29652819997863844
45.0,2,0,0.3664926000055857
45.0,0,0,0.7128830000001471
0.0,0,0,0.9408712000004016
0.0,2,0,0.5851023999857716
90.0,0,0,0.5512474999995902
45.0,2,0,0.5242083000193816
0.0,2,0,0.6053055000083987
90.0,2,0,0.6434510000108276
45.0,0,0,0.646993400005158
90.0,2,0,0.7516239999968093
45.0,0,0,1.3350741999747697
90.0,2,0,0.6940699999977369
90.0,0,0,0.9099468999775127
90.0,0,0,0.4420349999854807
45.0,2,0,0.5537222999846563
