Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.8979567000060342
90.0,2,0,1.0973112000210676
0.0,2,0,0.829163200018229
0.0,2,0,0.8854905999905895
0.0,0,0,0.6367011000111233
0.0,0,0,0.5006738000083715
0.0,0,0,0.36447770000086166
0.0,2,0,0.34588390000863
0.0,2,0,0.33276290001231246
0.0,2,0,0.3103784999984782
0.0,0,0,0.3734905000019353
0.0,2,0,0.319763299979968
0.0,0,0,0.4344071000232361
90.0,2,0,1.2714107999927364
0.0,0,0,0.6295129999925848
90.0,2,0,0.5933647000056226
0.0,2,0,0.8282025000080466
0.0,2,0,0.4326899999869056
90.0,0,0,0.4481311999843456
0.0,0,0,0.403960299998289
0.0,0,0,0.6220175999915227
0.0,0,0,0.4987399999808986
90.0,2,0,0.605117800005246
90.0,0,0,0.8049409999803174
0.0,0,0,0.5314410999999382
0.0,0,0,0.5642425000260118
90.0,0,0,0.514106599992374
90.0,0,0,0.5396856000006665
0.0,2,0,0.44447310001123697
0.0,2,0,0.3626654999970924
0.0,2,0,0.5044631000200752
90.0,0,0,0.5384453999868128
0.0,0,0,0.6752609000250231
0.0,2,0,0.4701673999952618
90.0,0,0,0.5347826000070199
90.0,2,0,0.6204227000125684
0.0,2,0,0.6286633999843616
0.0,2,0,0.6412229999841657
90.0,2,0,0.4846925000019837
90.0,0,0,0.5002117999829352
0.0,2,0,0.556702400004724
0.0,0,0,0.5334717000077944
90.0,2,0,0.7009348999999929
