Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.087185800075531
0.0,0,0,0.34072270011529326
0.0,0,0,0.29014729987829924
0.0,0,0,0.31852540001273155
0.0,2,0,0.3239373001269996
0.0,2,0,0.3500251001678407
0.0,0,0,0.2837422997690737
0.0,0,0,0.24866789998486638
0.0,0,0,0.2997586000710726
0.0,2,0,0.2949560000561178
0.0,0,0,0.2557756002061069
0.0,2,0,0.27579820016399026
0.0,0,0,0.3579242001287639
0.0,0,0,0.26175239961594343
0.0,2,0,0.23185590002685785
0.0,0,0,0.24213670007884502
0.0,0,0,0.28061729995533824
0.0,2,0,0.48007370019331574
0.0,0,0,0.3074524002149701
0.0,2,0,0.5980373998172581
0.0,2,0,0.33708389988169074
0.0,2,0,0.2600283999927342
0.0,2,0,0.2814784999936819
0.0,2,0,0.2740088999271393
0.0,2,0,0.5557221001945436
0.0,2,0,0.21685619978234172
0.0,0,0,0.45816530007869005
0.0,2,0,0.28554620034992695
0.0,2,0,0.44156069960445166
0.0,2,0,0.46135189989581704
0.0,2,0,0.4860617001540959
0.0,0,0,0.5358700999058783
0.0,0,0,0.4554224000312388
0.0,2,0,0.5267878999002278
0.0,2,0,0.4056442999280989
0.0,0,0,0.4967607003636658
0.0,0,0,0.45894289994612336
0.0,0,0,0.5362515999004245
0.0,0,0,0.46538740023970604
0.0,0,0,0.5682621002197266
0.0,0,0,0.5700086001306772
0.0,2,0,0.8118267999961972
0.0,0,0,0.3908706000074744
0.0,2,0,0.2503072000108659
0.0,0,0,0.2840004996396601
0.0,0,0,0.265300199855119
0.0,2,0,0.2873797002248466
0.0,2,0,0.2729305000975728
0.0,2,0,0.4460355001501739
0.0,2,0,0.45650319987908006
0.0,0,0,0.289996599778533
0.0,2,0,0.30457580043002963
0.0,0,0,0.3059665998443961
0.0,2,0,0.35427850019186735
0.0,0,0,0.32998700020834804
0.0,2,0,0.3154755998402834
0.0,2,0,0.5476945997215807
0.0,0,0,0.24357719998806715
0.0,0,0,0.29808689979836345
0.0,2,0,0.6102167996577919
