Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.4864051998592913
90.0,2,0,0.4179867999628186
0.0,0,0,0.6125567001290619
0.0,0,0,0.5783472000621259
0.0,0,0,0.4134931000880897
0.0,0,0,0.3650982999242842
90.0,2,0,0.5166377001442015
0.0,0,0,0.44102089991793036
90.0,2,0,0.489470100030303
0.0,2,0,0.42630970012396574
0.0,0,0,0.4428568999283016
90.0,0,0,0.3025453998707235
90.0,2,0,0.7854157998226583
0.0,2,0,0.6119409999810159
0.0,2,0,0.7191063999198377
0.0,0,0,0.6160938995890319
0.0,2,0,0.4792478000745177
90.0,2,0,0.5549729997292161
0.0,0,0,0.42646799981594086
0.0,2,0,0.602742400020361
90.0,0,0,0.5782682001590729
90.0,0,0,0.9084548000246286
0.0,2,0,0.6638055997900665
0.0,0,0,0.6904490999877453
90.0,2,0,0.5744296000339091
90.0,2,0,0.8736012000590563
90.0,0,0,0.49874720023944974
90.0,2,0,0.5604070997796953
0.0,2,0,0.4850850999355316
90.0,0,0,0.39049419993534684
