Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.535396708000917
0.0,2,0,0.3544152079994092
0.0,0,0,0.32529179099947214
0.0,0,0,0.3104219579981873
0.0,0,0,0.30861945799551904
0.0,0,0,0.3829613749985583
0.0,0,0,0.3014329169964185
0.0,2,0,0.24664562499674503
0.0,0,0,0.30085479200351983
0.0,0,0,0.4027066249982454
0.0,2,0,0.38378245900094043
0.0,0,0,0.3756535420106957
0.0,2,0,0.3858661249978468
0.0,2,0,0.2771390409907326
0.0,0,0,0.23670429199410137
0.0,2,0,0.27206808399932925
0.0,2,0,0.2927358750021085
0.0,2,0,0.2644797499960987
0.0,2,0,0.27227170899277553
0.0,2,0,0.34841245799907483
0.0,2,0,0.2732002919947263
0.0,2,0,0.27372816600836813
0.0,0,0,0.24098762500216253
0.0,0,0,0.2666372079984285
0.0,0,0,0.2737242089933716
0.0,2,0,0.2897220409940928
0.0,2,0,0.2307024170004297
0.0,2,0,0.2654747090127785
0.0,0,0,0.2575040830124635
0.0,0,0,0.23961133300326765
0.0,0,0,0.22953954199329019
0.0,0,0,0.23957608400087338
0.0,2,0,0.2394462910015136
0.0,2,0,0.3200710000091931
0.0,2,0,0.2866188749903813
0.0,0,0,0.2861623339995276
0.0,0,0,0.22928891699120868
0.0,0,0,0.25565654200909194
0.0,0,0,0.27119562499865424
0.0,2,0,0.2433644159900723
0.0,0,0,0.26133104199834634
0.0,0,0,0.29466237500309944
0.0,2,0,0.27114020800217986
0.0,2,0,0.26406587500241585
0.0,2,0,0.2628047079924727
0.0,2,0,0.3093913749908097
0.0,0,0,0.22729408300074283
0.0,2,0,0.28084658400621265
0.0,0,0,0.2659693749883445
0.0,0,0,0.24172070900385734
0.0,2,0,0.29922858299687505
0.0,0,0,0.3116221249947557
0.0,0,0,0.2868688330054283
0.0,2,0,0.27029312499507796
0.0,0,0,0.3803880420018686
0.0,2,0,0.285213583993027
0.0,2,0,0.2812259579950478
0.0,0,0,0.2825122499925783
0.0,2,0,0.24490595899987966
0.0,2,0,0.2878486669942504
