Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.5400813330052188
45.0,0,0,0.3583780420012772
0.0,0,0,0.6466668330103857
90.0,2,0,0.48352799999702256
45.0,0,0,0.37319658300839365
45.0,2,0,0.501952042002813
0.0,0,0,0.48492645799706224
90.0,0,0,0.44514808399253525
0.0,0,0,0.5907392920053098
90.0,2,0,0.5554449589981232
45.0,0,0,0.5578401670063613
0.0,2,0,0.6097052910045022
45.0,0,0,0.5868275420070859
45.0,2,0,0.516783499988378
0.0,2,0,0.42188433300179895
45.0,2,0,0.4537201670027571
0.0,2,0,0.4552914590021828
45.0,2,0,0.5600827499874867
45.0,0,0,0.5551866250025341
0.0,0,0,0.40434829199512023
