Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.38690199999837205
90.0,2,0,0.4872791670059087
0.0,2,0,0.36555579100968316
0.0,2,0,0.37870691700663883
90.0,0,0,0.3728545419871807
0.0,2,0,0.44030770800600294
90.0,0,0,0.4959262500051409
90.0,0,0,0.4235585410060594
0.0,2,0,0.47081104200333357
90.0,0,0,0.46354741700633895
90.0,2,0,0.5568301250023069
90.0,0,0,0.4030021670041606
0.0,2,0,0.35771170900261495
90.0,0,0,0.37636249999923166
90.0,2,0,0.5093793330015615
0.0,0,0,0.4120728749985574
90.0,2,0,0.48050658400461543
0.0,2,0,0.4313988329959102
90.0,0,0,0.40251749999879394
0.0,2,0,0.3921675830060849
90.0,2,0,0.3362239580019377
0.0,0,0,0.3396713330002967
0.0,0,0,0.552047458011657
0.0,0,0,0.35082379200321157
90.0,0,0,0.4299278749967925
0.0,2,0,0.372091500001261
90.0,2,0,0.5001182080013677
0.0,2,0,0.4464185830001952
0.0,0,0,0.46864195801026653
0.0,0,0,0.468049749993952
