Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,1.5729242920001525
0.0,0,0,0.7522400409998227
0.0,0,0,0.6854103339996982
0.0,2,0,0.5379576250002174
0.0,0,0,0.7713157089997367
0.0,2,0,1.7472926249997727
0.0,0,0,0.38476354199974594
0.0,2,0,0.47271408300002804
0.0,0,0,0.31945954200000415
0.0,0,0,0.3342652910000652
0.0,2,0,0.2830724159998681
0.0,2,0,0.32094958399966345
0.0,0,0,0.3655763329998081
0.0,0,0,0.31670454200002496
0.0,2,0,0.3494500409997272
0.0,0,0,0.4845853749998241
0.0,2,0,0.638588124999842
0.0,2,0,0.7829771659999096
0.0,0,0,0.5817635419998624
0.0,0,0,0.3014152499999909
0.0,2,0,1.1654256659999191
0.0,0,0,0.31526174999999057
0.0,2,0,0.3531867910000983
0.0,2,0,0.31816699999990306
0.0,2,0,0.3263684580001609
0.0,0,0,0.31660458399983327
0.0,0,0,0.3287051249999422
0.0,0,0,0.33136495799999466
0.0,0,0,0.27461454100011906
0.0,0,0,0.2920275420001417
0.0,2,0,0.2769196669996745
0.0,2,0,0.28923233400018944
0.0,0,0,0.27934624999988955
0.0,2,0,0.2595167500003299
0.0,2,0,0.6379232499998579
0.0,2,0,0.26810424999985116
0.0,2,0,0.4256233749997591
0.0,2,0,0.3561658329999773
0.0,0,0,0.4693603340001573
0.0,0,0,0.6856984169999123
0.0,2,0,0.4011290419998659
0.0,2,0,0.1360637080001652
0.0,0,0,0.4154499169999326
0.0,0,0,0.29367629099988335
0.0,2,0,0.553823833000024
0.0,0,0,0.28288295799984553
0.0,2,0,0.2892799169999307
0.0,2,0,0.32545924999976705
0.0,2,0,0.21977866699990045
0.0,2,0,0.2902185000002646
0.0,0,0,0.2834631249997983
0.0,2,0,0.5416402500000004
0.0,0,0,0.29965299999958006
0.0,0,0,0.2668717920000745
0.0,0,0,0.2850845829998434
0.0,0,0,0.8890623329998562
0.0,2,0,0.324663542000053
0.0,2,0,1.4421832080001877
0.0,0,0,0.24097512500020457
0.0,2,0,0.2668627500002003
