Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.5314887499998804
0.0,2,0,0.33211287499943865
45.0,2,0,1.2748870420000458
90.0,0,0,0.8729520409997349
90.0,0,0,1.1735071250004694
45.0,2,0,0.6882473749992641
90.0,2,0,0.6429448750004667
45.0,2,0,0.571636125000623
90.0,0,0,1.124962749999213
45.0,2,0,0.8050305000006119
45.0,0,0,0.5236466249998557
90.0,2,0,0.691884332999507
45.0,0,0,0.5974725000005492
0.0,0,0,0.7647646249997706
45.0,0,0,0.7633105830000204
90.0,0,0,0.675940250000167
0.0,2,0,0.8251112090001698
90.0,0,0,0.8389267920001657
45.0,2,0,0.6673367919993325
90.0,2,0,0.803335583000262
