Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.6550039980211295
45.0,0,0,0.9617629879794549
90.0,2,0,1.0084414400043897
90.0,0,0,1.168314526003087
45.0,0,0,0.6487461409997195
45.0,2,0,0.6182197010202799
90.0,2,0,0.5969470260024536
0.0,0,0,0.7035820980090648
90.0,2,0,0.6943517359904945
45.0,2,0,0.6492386299942154
90.0,2,0,0.5814845770073589
45.0,0,0,0.655891950998921
0.0,0,0,1.205973953998182
0.0,2,0,0.612910522002494
45.0,0,0,1.0179819609911647
45.0,2,0,0.6925103160028812
0.0,0,0,0.8748942969832569
45.0,2,0,0.9289636829926167
90.0,0,0,0.81566529799602
0.0,2,0,1.0305206999764778
