Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.206669959006831
0.0,2,0,0.5118278339505196
0.0,0,0,0.3942565830075182
0.0,2,0,0.3046646249713376
0.0,0,0,0.3644785829819739
0.0,0,0,0.40155233297264203
0.0,2,0,0.3136333749862388
0.0,2,0,0.34666204202221707
0.0,0,0,0.41885479202028364
0.0,0,0,0.4221959580318071
0.0,0,0,0.4535940419882536
0.0,0,0,0.43952629202976823
0.0,2,0,0.4052660419838503
0.0,0,0,0.7075064170057885
0.0,2,0,0.4812192500103265
0.0,2,0,0.26871933398069814
0.0,2,0,0.294949083996471
0.0,0,0,0.2944755839998834
0.0,2,0,0.2733005000045523
0.0,0,0,0.25440645799972117
0.0,0,0,0.2898282919777557
0.0,0,0,0.2744064580183476
0.0,2,0,0.26280845899600536
0.0,2,0,0.30501749995164573
0.0,0,0,0.3158027079771273
0.0,2,0,0.4196782090002671
0.0,0,0,0.3998906249762513
0.0,0,0,0.2805817499756813
0.0,0,0,0.3996675420203246
0.0,2,0,0.2823332499829121
0.0,2,0,0.34177587495651096
0.0,0,0,0.2892031670198776
0.0,0,0,0.23442604200681672
0.0,2,0,0.32076700002653524
0.0,2,0,0.3096693329862319
0.0,2,0,0.3797543330001645
0.0,2,0,0.40243337501306087
0.0,2,0,0.3085234579630196
0.0,2,0,0.2654109580325894
0.0,2,0,0.2843064589542337
0.0,2,0,0.23599195899441838
0.0,0,0,0.25325583398807794
0.0,0,0,0.2788726669969037
0.0,2,0,0.29224991699447855
0.0,2,0,0.2710440839873627
0.0,2,0,0.32411749998573214
0.0,0,0,0.11812012497102842
0.0,2,0,0.25185658398550004
0.0,2,0,0.2933058339986019
0.0,0,0,0.26751270901877433
0.0,0,0,0.25003562500933185
0.0,2,0,0.28438570798607543
0.0,0,0,0.24864279199391603
0.0,2,0,0.7575303329504095
0.0,0,0,0.3423752920352854
0.0,0,0,0.32899416697910056
0.0,0,0,0.8390301669714972
0.0,0,0,0.4110756249865517
0.0,0,0,0.42568124999525025
0.0,0,0,0.3700262079946697
