Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.9820579999941401
45.0,0,0,0.7508232920081355
45.0,0,0,0.538446374994237
90.0,0,0,0.8558837089804001
90.0,0,0,0.5773129590088502
45.0,2,0,0.7623695409856737
45.0,2,0,0.6480176670011133
0.0,0,0,0.6369889170164242
0.0,0,0,0.6992142910021357
45.0,0,0,0.7953955829725601
90.0,0,0,0.7343158329604194
0.0,2,0,0.5796627500094473
90.0,0,0,0.87255908298539
90.0,2,0,0.5979702500044368
0.0,2,0,1.0428192079998553
90.0,2,0,0.6347611660021357
45.0,2,0,0.7074131250265054
45.0,2,0,0.5884132090141065
0.0,0,0,0.9714811250451021
0.0,2,0,0.6765749999904074
