Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,0,0.6987154000089504
45.0,0,0,0.540123599988874
90.0,0,0,0.6219549000379629
45.0,2,0,0.6038163999910466
90.0,2,0,0.8030023000319488
90.0,0,0,0.9713317999849096
90.0,2,0,0.6283809999586083
0.0,0,0,0.5383900000015274
90.0,0,0,0.8219382000388578
90.0,0,0,0.4645872000255622
45.0,2,0,0.5158665999770164
45.0,2,0,0.5344953000312671
0.0,2,0,0.5524688999867067
45.0,2,0,0.5676380000077188
45.0,2,0,0.6506725999643095
45.0,0,0,0.5338007000391372
45.0,0,0,0.35413539997534826
45.0,0,0,0.5152964000008069
90.0,2,0,1.0198706000228412
90.0,2,0,0.4663889000075869
