Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.584220299962908
0.0,2,0,0.37121490004938096
0.0,2,0,0.4393737000063993
0.0,2,0,0.3976921999710612
0.0,0,0,0.32158379995962605
0.0,2,0,0.3652138999896124
0.0,2,0,0.41814800002612174
0.0,0,0,0.2902516999747604
0.0,2,0,0.3702264000312425
90.0,2,0,0.4341141000040807
90.0,2,0,0.37105469999369234
90.0,2,0,0.29803800000809133
90.0,0,0,0.2595638000057079
0.0,0,0,0.44597320002503693
90.0,0,0,0.43628199998056516
0.0,0,0,0.3845512999687344
0.0,2,0,0.35668249998707324
90.0,0,0,0.39820359996519983
90.0,2,0,0.42830409994348884
90.0,0,0,0.4350230999989435
0.0,2,0,0.4445141000323929
0.0,0,0,0.5401159999892116
0.0,0,0,0.44939840002916753
90.0,0,0,0.5739033000427298
90.0,2,0,0.3579116000328213
90.0,0,0,0.32411089999368414
90.0,2,0,0.4262653000187129
0.0,0,0,0.4459180000121705
0.0,0,0,0.2649424999835901
90.0,2,0,0.3784291999763809
