Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.5743297910003093
0.0,2,0,0.29649341700041987
0.0,0,0,0.24130166600025404
0.0,2,0,0.28837041700035115
0.0,0,0,0.23899454200000037
0.0,0,0,0.23422012499986522
0.0,2,0,0.2558397919997333
0.0,2,0,0.2853629999999612
0.0,0,0,0.287069958000302
0.0,2,0,0.23909687500008658
0.0,2,0,0.2516220830002567
0.0,2,0,0.27376208399982715
0.0,2,0,0.23057637500005512
0.0,0,0,0.20949737499995535
0.0,2,0,0.20286554200038154
0.0,0,0,0.22594949999984237
0.0,2,0,0.21892858299997897
0.0,0,0,0.29881545899979756
0.0,0,0,0.20825520900007177
0.0,0,0,0.20774170799995773
0.0,0,0,0.20703387499997916
0.0,2,0,0.2804713340001399
0.0,0,0,0.20750479099979202
0.0,2,0,0.21489720800036594
0.0,0,0,0.15011841699970319
0.0,0,0,0.4239069160003055
0.0,0,0,0.24942341700034376
0.0,2,0,0.49863616700031343
0.0,0,0,0.2065720840000722
0.0,0,0,0.20605312499992579
0.0,0,0,0.4325402499998745
0.0,0,0,0.2873747500002537
0.0,2,0,0.21135804200002895
0.0,2,0,0.3042844579999837
0.0,0,0,0.2247627920000923
0.0,2,0,0.22180770800014216
0.0,0,0,0.2542516250000517
0.0,2,0,0.2606184999999641
0.0,0,0,0.2374297920000572
0.0,2,0,0.014822000000094704
0.0,0,0,0.2727109580000615
0.0,0,0,0.21302224999999453
0.0,2,0,0.23748029099988344
0.0,2,0,0.28431133399999453
0.0,0,0,0.2537604999997711
0.0,2,0,0.25550083299958715
0.0,2,0,0.23315262500000244
0.0,2,0,0.22649079100028757
0.0,0,0,0.2664973330001885
0.0,2,0,0.20229729099992255
0.0,2,0,0.25251045799996064
0.0,0,0,0.18642783399991458
0.0,2,0,0.2658926670001165
0.0,0,0,0.2049957499998527
0.0,0,0,0.25924845800000185
0.0,2,0,0.17129475000001548
0.0,2,0,0.30729091700004574
0.0,0,0,0.2598454579997451
0.0,2,0,0.22539737499982948
0.0,0,0,0.06240083300008337
