Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.90200783399996
45.0,2,0,0.4337258750001638
45.0,0,0,0.49880179199999475
45.0,0,0,0.4443321250000736
45.0,0,0,0.4834958749997895
45.0,2,0,0.3285441670000182
0.0,2,0,0.7940102920001664
45.0,2,0,0.7705396250003105
0.0,2,0,1.566864667000118
90.0,0,0,1.1631075420000343
45.0,2,0,0.3345369580001716
0.0,2,0,0.6500650419998237
0.0,0,0,0.3839849580003829
0.0,0,0,0.42172879100007776
45.0,2,0,0.8307626250002613
45.0,0,0,0.4586782910000693
45.0,0,0,0.4470431669997197
0.0,2,0,0.7369154170000911
0.0,0,0,0.7587862079999468
45.0,2,0,0.4712362500004019
