Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.5518360420001045
90.0,0,0,0.32955233299981046
90.0,2,0,0.31888554100032707
0.0,2,0,0.35389012499990713
0.0,2,0,0.43945737500007453
90.0,2,0,0.4989638750002996
90.0,0,0,0.367014417000064
0.0,2,0,0.37487358399994264
90.0,0,0,0.47277487500014104
0.0,0,0,0.5489491670000461
0.0,0,0,0.39786087499987843
90.0,0,0,0.39854908300003444
90.0,2,0,0.35366591599995445
90.0,0,0,0.3364172920000783
90.0,0,0,0.31472004200031733
0.0,2,0,0.5333687079996707
90.0,2,0,0.44511112500003946
90.0,0,0,0.43017137500009994
90.0,2,0,0.38575341700015997
90.0,0,0,0.535408083999755
90.0,2,0,0.40401191699993433
90.0,2,0,0.3652315419999468
0.0,0,0,0.3928497500000958
0.0,2,0,0.3833589999999276
90.0,2,0,0.3840847500000564
90.0,2,0,0.3963634159999856
90.0,2,0,0.4368182079997496
0.0,0,0,0.45094012500021563
0.0,0,0,0.43479704200035485
0.0,0,0,0.6714236660000097
