Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.7831741250120103
0.0,0,0,0.4868659390049288
0.0,0,0,0.5341994350019377
0.0,2,0,0.7290557739906944
0.0,2,0,0.5270709489996079
0.0,2,0,0.3732082249916857
0.0,0,0,0.4921884700015653
0.0,2,0,0.33133388200076297
0.0,0,0,0.25446837399795186
0.0,2,0,0.25669327900686767
0.0,0,0,0.3906049459910719
0.0,0,0,0.27363776200218126
0.0,2,0,0.3089163349941373
0.0,0,0,0.25181464200431947
0.0,2,0,0.4768314270040719
0.0,0,0,0.5368932660057908
0.0,2,0,0.2862467859958997
0.0,0,0,0.30662659999507014
0.0,2,0,0.22437711800739635
0.0,0,0,0.4184158559946809
0.0,0,0,0.24148264600080438
0.0,0,0,0.20488648800528608
0.0,2,0,0.2754914649995044
0.0,2,0,0.33563510701060295
0.0,2,0,0.3604883799998788
0.0,2,0,0.25570886299829
0.0,0,0,0.16051138599868864
0.0,0,0,0.18786394700873643
0.0,0,0,0.5928055260010296
0.0,2,0,0.7823346350050997
0.0,0,0,0.7487772430031328
0.0,0,0,0.5971971310063964
0.0,0,0,0.68928106999374
0.0,2,0,0.5278994780092034
0.0,2,0,0.3693808409880148
0.0,2,0,0.14558251400012523
0.0,2,0,0.85613811800431
0.0,2,0,0.733277077000821
0.0,0,0,1.608180101000471
0.0,0,0,0.45102057499752846
0.0,0,0,1.46485110699723
0.0,2,0,0.5286806719959714
0.0,0,0,0.9453788449900458
0.0,0,0,0.9851094079931499
0.0,0,0,0.7067032589984592
0.0,0,0,0.4016151559917489
0.0,0,0,0.5087049189896788
0.0,2,0,0.2580254159984179
0.0,2,0,0.5848647500097286
0.0,2,0,0.5772598939947784
0.0,2,0,0.37605394099955447
0.0,0,0,0.3315050050005084
0.0,0,0,0.394895749996067
0.0,2,0,0.5660839969932567
0.0,2,0,0.6067600469978061
0.0,2,0,0.741621663008118
0.0,0,0,1.1879500139912125
0.0,2,0,0.5368570010032272
0.0,2,0,0.40156314500200097
0.0,0,0,0.6035803490085527
