Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,1.092166938004084
0.0,0,0,0.8133949769980973
45.0,0,0,0.880894839996472
0.0,0,0,0.7751579949981533
0.0,2,0,0.7536483570002019
45.0,0,0,0.8317844400007743
0.0,0,0,0.66982734001067
0.0,2,0,0.9093196870089741
90.0,2,0,0.8715322709904285
45.0,0,0,0.784536499006208
0.0,2,0,0.6728432959935162
90.0,2,0,0.6606393340043724
45.0,0,0,0.53165936699952
0.0,2,0,0.7424529319978319
0.0,2,0,0.5314693749969592
0.0,0,0,0.4987098900019191
45.0,2,0,0.7103846999962116
90.0,0,0,0.6941709309903672
45.0,2,0,0.6878611919964897
0.0,0,0,0.4527088309987448
