Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.9988552010036074
0.0,2,0,0.7724960339983227
0.0,2,0,0.7635409829963464
0.0,0,0,0.4571798489923822
90.0,0,0,0.49336764999316074
0.0,0,0,0.40316095200250857
0.0,0,0,0.5664434409991372
90.0,2,0,0.4478345370007446
90.0,2,0,0.5341355590062449
90.0,0,0,0.623352080991026
90.0,0,0,0.44108152799890377
90.0,0,0,0.44958060199860483
0.0,2,0,0.49464254500344396
90.0,2,0,0.6536148679879261
90.0,0,0,0.38426637499651406
0.0,0,0,0.5070538210129598
0.0,2,0,0.6162548790016444
90.0,2,0,0.5239237759960815
90.0,2,0,0.5193646369880298
90.0,0,0,0.661597502999939
90.0,2,0,0.671282429000712
90.0,2,0,0.5749686350027332
90.0,2,0,0.3881201430049259
90.0,2,0,0.4041461870074272
90.0,0,0,0.3183276080089854
0.0,2,0,0.4672892919916194
0.0,0,0,0.4674641389865428
90.0,0,0,0.4734119039931102
0.0,0,0,0.5866479429969331
0.0,2,0,0.5928040569997393
