Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.28803608400630765
0.0,2,0,0.31359887501457706
0.0,2,0,0.5817421250103507
0.0,2,0,0.31185687499237247
0.0,2,0,0.33409579200088046
0.0,0,0,0.26328954100608826
0.0,2,0,0.3027448750217445
0.0,0,0,0.27427512500435114
0.0,2,0,0.25624795799376443
0.0,0,0,0.2596215000085067
0.0,2,0,0.26815195797826163
0.0,2,0,0.3195952920068521
0.0,2,0,0.3405287500063423
0.0,2,0,0.20804945900454186
0.0,2,0,0.2812137499859091
0.0,0,0,0.25540100000216626
0.0,0,0,0.2608199579990469
0.0,2,0,0.25175020899041556
0.0,2,0,0.274160708009731
0.0,2,0,0.3246159160044044
0.0,0,0,0.32752724998863414
0.0,2,0,0.24875800000154413
0.0,0,0,0.22839550001663156
0.0,0,0,0.2801916250027716
0.0,2,0,0.29484066701843403
0.0,0,0,0.23425958302686922
0.0,2,0,0.322985292004887
0.0,2,0,0.34423433398478664
0.0,0,0,0.23976254201261327
0.0,2,0,0.46813225001096725
0.0,0,0,0.5269198750029318
0.0,2,0,0.4777194999915082
0.0,0,0,0.3606084589846432
0.0,0,0,0.45745883299969137
0.0,0,0,0.5356907500245143
0.0,2,0,0.26066075000562705
0.0,0,0,0.290816916996846
0.0,0,0,0.278797625011066
0.0,2,0,0.2969266249856446
0.0,0,0,0.292266791977454
0.0,2,0,0.31728841600124724
0.0,0,0,0.2664062090043444
0.0,2,0,0.36873679200652987
0.0,0,0,0.2930369999958202
0.0,0,0,0.2502394169860054
0.0,0,0,0.300043542025378
0.0,0,0,0.25208383399876766
0.0,2,0,0.24028912500943989
0.0,0,0,0.3048267090052832
0.0,2,0,0.32871587498812005
0.0,2,0,0.32075154202175327
0.0,0,0,0.2976318330038339
0.0,2,0,0.23805479099974036
0.0,0,0,0.27721458399901167
0.0,0,0,0.0536868330091238
0.0,0,0,0.37634320798679255
0.0,0,0,0.35323708300711587
0.0,0,0,0.5405367919884156
0.0,2,0,0.351013708015671
0.0,2,0,0.38699562498368323
