Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.1215125000162516
90.0,2,0,1.2750713329878636
90.0,0,0,1.390294584009098
0.0,0,0,0.6074674999981653
0.0,0,0,0.6344484580040444
90.0,0,0,0.5452477499784436
0.0,2,0,0.4881260420079343
0.0,2,0,0.6050372089957818
0.0,0,0,0.4020094170118682
90.0,0,0,0.6283044170122594
45.0,2,0,0.5197130420128815
90.0,0,0,0.733999332995154
0.0,2,0,0.6191956250113435
90.0,0,0,1.2048843750089873
0.0,0,0,0.7159603340260219
0.0,2,0,0.6683752499811817
0.0,2,0,0.5801284170011058
45.0,2,0,1.137828917009756
45.0,2,0,0.6964803339797072
0.0,0,0,0.7309468339954037
