Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.5717078330053482
0.0,2,0,0.4153250420058612
90.0,2,0,0.6049763339979108
0.0,0,0,0.4261197909945622
0.0,0,0,0.508811165986117
90.0,2,0,0.65438575000735
0.0,2,0,0.5075625420140568
90.0,0,0,0.4947049169859383
0.0,0,0,0.4537710419972427
90.0,2,0,0.7529494169866666
0.0,0,0,0.4514879169873893
90.0,2,0,0.5708739160036203
0.0,2,0,0.6281420410086866
90.0,2,0,0.6757359159819316
90.0,0,0,0.8286044580163434
90.0,2,0,0.7230321670067497
90.0,0,0,0.6074264160124585
90.0,0,0,0.6939160829933826
0.0,0,0,0.6661066660017241
0.0,2,0,0.6181047910067718
0.0,0,0,0.4301952079986222
0.0,0,0,0.4768355420092121
90.0,0,0,1.4819105830101762
90.0,2,0,0.38511287499568425
0.0,0,0,1.155788959003985
90.0,2,0,1.0637282080133446
0.0,0,0,0.9364907919953112
0.0,2,0,0.5179422080109362
0.0,2,0,0.574729167012265
0.0,2,0,0.5898613749886863
