Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,1.110454583000319
90.0,0,0,0.46293087499998364
0.0,0,0,0.5125790419997429
0.0,0,0,1.1724034999997457
0.0,2,0,0.48382791700078087
0.0,2,0,0.38323229100024037
0.0,0,0,0.38164183299977594
0.0,0,0,0.8749621249999109
0.0,2,0,0.5333965419995366
0.0,2,0,0.3057664170000862
0.0,2,0,0.5158062500004235
0.0,0,0,0.4206701670000257
90.0,2,0,0.5866219170002296
0.0,2,0,0.4047202080000716
0.0,0,0,0.398032707999846
0.0,2,0,0.305739707999237
90.0,2,0,0.8523674999996729
90.0,2,0,0.6019667079999635
0.0,0,0,0.5771828749993801
90.0,2,0,0.7222962499999994
0.0,2,0,0.4882731669995337
90.0,0,0,0.677845499999421
0.0,0,0,0.5086517079998885
90.0,2,0,0.5391437080006654
90.0,0,0,0.5311967919997187
0.0,2,0,0.7775467499996012
0.0,0,0,0.7039075000002413
90.0,0,0,0.329339875000187
90.0,0,0,0.4127603340002679
0.0,2,0,0.5514106660002653
